Test_Case,Producer_Rate,Security,Message_Size,Execution,OMB_Latency_50,OMB_Latency_75,OMB_Latency_95,OMB_Latency_99,OMB_Messages,OMB_Bytes,OMB_Duration,OMB_Throughout
TC08,1000,Non-Secure,102400,1,7.622,9.328,22.638,85.268,300672,30788.8128,307,100.28929250814332
TC08,1000,Secure,102400,1,13.276,16.086,27.217,85.976,306272,31362.2528,520,60.312024615384615
TC08,1000,Non-Secure,102400,2,7.081,8.559,19.817,71.305,300643,30785.8432,307,100.27961954397394
TC08,1000,Secure,102400,2,13.251,15.999,23.535,64.223,306336,31368.806399999998,520,60.324627692307686
TC08,1000,Non-Secure,102400,3,6.788,8.263,16.591,64.336,300618,30783.283199999998,307,100.27128078175895
TC08,1000,Secure,102400,3,13.138,15.916,23.834,67.794,304194,31149.4656,520,59.90281846153846
TC08,1000,Non-Secure,102400,4,6.49,7.923,16.879,58.175,300662,30787.7888,307,100.28595700325732
TC08,1000,Secure,102400,4,14.022,17.018,31.555,87.981,306768,31413.0432,520,60.40969846153846
TC08,1000,Non-Secure,102400,5,7.017,8.664,22.141,59.016,300671,30788.7104,307,100.28895895765473
TC08,1000,Secure,102400,5,12.908,15.713,24.544,74.937,306563,31392.051199999998,519,60.48564778420038
TC08,1000,Non-Secure,102400,6,6.761,8.173,16.424,55.026,300632,30784.7168,307,100.27595048859935
TC08,1000,Secure,102400,6,13.091,15.826,23.986,71.114,306433,31378.7392,522,60.112527203065135
TC08,1000,Non-Secure,102400,7,6.718,8.232,18.736,53.836,300622,30783.692799999997,307,100.27261498371334
TC08,1000,Secure,102400,7,13.207,16.022,25.097,69.815,306193,31354.1632,519,60.41264585741811
TC08,1000,Non-Secure,102400,8,6.608,8.106,18.046,55.945,300623,30783.795199999997,308,99.94738701298701
TC08,1000,Secure,102400,8,13.413,16.193,25.9,71.658,306642,31400.140799999997,519,60.50123468208092
TC08,1000,Non-Secure,102400,9,6.338,7.697,14.904,46.588,300650,30786.559999999998,307,100.28195439739413
TC08,1000,Secure,102400,9,12.931,15.678,23.665,61.969,306698,31405.8752,521,60.279990786948176
TC08,1000,Non-Secure,102400,10,6.51,7.952,15.679,47.427,300647,30786.2528,307,100.28095374592833
TC08,1000,Secure,102400,10,12.97,15.789,25.036,64.205,306547,31390.4128,519,60.48249094412331
TC09,10000,Non-Secure,100,1,3.26,3.958,5.186,8.572,3005927,300.5927,307,0.979129315960912
TC09,10000,Secure,100,1,5.337,6.46,8.62,10.862,3029358,302.9358,512,0.591671484375
TC09,10000,Non-Secure,100,2,3.162,3.828,4.862,7.344,3006154,300.61539999999997,307,0.9792032573289902
TC09,10000,Secure,100,2,5.266,6.358,8.383,10.153,3028398,302.83979999999997,512,0.5914839843749999
TC09,10000,Non-Secure,100,3,3.089,3.73,4.596,6.129,3006209,300.6209,308,0.9760418831168831
TC09,10000,Secure,100,3,5.676,6.923,9.39,14.224,3027464,302.7464,510,0.5936203921568627
TC09,10000,Non-Secure,100,4,3.158,3.826,5.183,8.699,3006440,300.644,307,0.9792964169381108
TC09,10000,Secure,100,4,5.725,6.942,9.218,11.591,3064564,306.4564,539,0.5685647495361781
TC09,10000,Non-Secure,100,5,3.16,3.815,4.977,7.22,3006010,300.601,307,0.9791563517915309
TC09,10000,Secure,100,5,5.692,6.89,9.076,11.185,3067122,306.7122,527,0.5819965844402277
TC09,10000,Non-Secure,100,6,3.162,3.828,5.434,8.529,3006417,300.6417,307,0.9792889250814333
TC09,10000,Secure,100,6,5.672,6.859,9.044,11.224,3048226,304.82259999999997,548,0.5562456204379561
TC09,10000,Non-Secure,100,7,3.089,3.726,4.451,6.024,3006382,300.6382,307,0.9792775244299674
TC09,10000,Secure,100,7,5.528,6.695,8.797,10.857,3030376,303.0376,514,0.5895673151750973
TC09,10000,Non-Secure,100,8,3.175,3.837,4.851,6.716,3006200,300.62,307,0.9792182410423453
TC09,10000,Secure,100,8,5.871,7.125,9.44,11.724,3039779,303.9779,515,0.5902483495145631
TC09,10000,Non-Secure,100,9,3.122,3.773,4.779,7.02,3006209,300.6209,307,0.9792211726384366
TC09,10000,Secure,100,9,5.821,7.089,9.493,12.676,3030441,303.0447,521,0.5816596928982725
TC09,10000,Non-Secure,100,10,3.299,3.996,5.582,8.685,3006404,300.6404,308,0.9761051948051948
TC09,10000,Secure,100,10,5.713,6.908,9.072,11.135,3034772,303.4772,514,0.5904225680933852
TC10,10000,Non-Secure,1024,1,3.695,4.483,6.17,9.395,3007254,3079.4280959999996,307,10.03071041042345
TC10,10000,Secure,1024,1,6.211,7.493,9.931,12.988,3091529,3165.725696,549,5.7663491730418945
TC10,10000,Non-Secure,1024,2,3.637,4.409,6.024,8.663,3007229,3079.4024959999997,308,9.998060051948052
TC10,10000,Secure,1024,2,6.294,7.562,9.925,12.547,3084547,3158.5761279999997,547,5.774362208409506
TC10,10000,Non-Secure,1024,3,3.757,4.583,6.942,10.013,3007649,3079.832576,307,10.032027934853419
TC10,10000,Secure,1024,3,6.116,7.377,9.723,12.39,3042452,3115.470848,518,6.014422486486486
TC10,10000,Non-Secure,1024,4,3.432,4.155,5.576,8.402,3005997,3078.140928,307,10.026517680781758
TC10,10000,Secure,1024,4,6.614,7.996,10.601,14.932,3090148,3164.3115519999997,522,6.061899524904214
